OrderID,CustomerID,CustomerName,Age,Gender,City,State,Category,ProductName,Quantity,UnitPrice,Discount,ShippingCost,PaymentMethod,OrderDate,DeliveryDays,Rating,CustomerSatisfaction,TotalPrice,DiscountAmount,FinalPrice
ORD00063,CUST0296,Jane Doe,59.0,Male,San Jose,NY,Home & Garden,Coffee,4,499.29,10,0.45,PayPal,2024-01-22,12,4.0,Neutral,1997.16,199.716,1797.894
ORD00064,CUST0213,Mike Johnson,37.0,Female,San Jose,FL,Books,T-Shirt,4,22.16,5,8.88,Debit Card,2024-05-11,7,5.0,Very Satisfied,88.64,4.432,93.088
ORD00065,CUST0208,Lisa Anderson,67.0,Female,New York,CA,Toys,Novel,5,419.27,5,15.63,Credit Card,2024-10-28,12,5.0,Neutral,2096.35,104.8175,2007.1625
ORD00066,CUST0237,Jessica White,41.0,Female,Los Angeles,NY,Beauty,Coffee,1,189.03,10,13.6,Credit Card,2024-09-23,14,4.0,Dissatisfied,189.03,18.903000000000002,183.727
ORD00067,CUST0053,Lisa Anderson,60.0,Male,Philadelphia,IL,Food,Jeans,4,422.39,0,12.7,PayPal,2024-10-13,9,2.0,Dissatisfied,1689.56,0.0,1702.26
ORD00068,CUST0280,Jessica White,51.0,Male,,TX,Sports,Basketball,3,281.76,0,18.19,Debit Card,2024-04-29,4,3.0,Satisfied,845.28,0.0,863.47
ORD00069,CUST0217,Robert Garcia,42.0,Female,Phoenix,PA,Sports,Cookbook,4,451.8,0,0.36,Debit Card,2024-09-02,10,5.0,Satisfied,1807.2,0.0,1807.56
ORD00070,CUST0252,Sarah Williams,67.0,Female,Dallas,GA,Beauty,Lipstick,1,463.83,0,11.14,PayPal,2024-02-25,4,5.0,Very Satisfied,463.83,0.0,474.96999999999997
ORD00071,CUST0188,Sarah Williams,46.0,Male,Phoenix,AZ,Beauty,Lipstick,1,14.46,5,15.75,PayPal,2024-02-07,2,5.0,Satisfied,14.46,0.7230000000000001,29.487000000000002
ORD00072,CUST0041,David Brown,56.0,Female,Los Angeles,TX,Electronics,Basketball,2,46.95,15,10.83,Debit Card,2024-09-01,3,3.0,Satisfied,93.9,14.085,90.645
ORD00073,CUST0157,Emily Davis,48.0,Female,San Jose,OH,Books,Jeans,3,132.68,10,6.48,Credit Card,2024-01-21,1,5.0,Dissatisfied,398.04,39.804,364.716
ORD00074,CUST0015,David Brown,64.0,Male,Houston,TX,Food,Laptop,1,337.96,10,2.73,Cash,2024-04-19,1,5.0,Dissatisfied,337.96,33.796,306.894
ORD00075,CUST0065,Jessica White,60.0,Male,Dallas,GA,Books,Lipstick,5,445.25,0,17.75,Credit Card,2024-04-03,7,5.0,Very Dissatisfied,2226.25,0.0,2244.0
ORD00076,CUST0009,James Harris,67.0,Female,New York,CA,Beauty,Cookbook,3,235.37,5,9.42,PayPal,2024-05-15,14,1.0,Dissatisfied,706.11,35.3055,680.2244999999999
ORD00077,CUST0129,Chris Wilson,40.0,Male,New York,IL,Clothing,Lipstick,3,307.42,0,17.56,Debit Card,2024-08-18,14,5.0,Very Satisfied,922.26,0.0,939.8199999999999
ORD00078,CUST0136,Jane Doe,61.0,Male,San Antonio,PA,Clothing,Jeans,5,102.36,0,11.72,Debit Card,2024-01-08,5,1.0,Satisfied,511.8,0.0,523.52
ORD00079,CUST0063,Chris Wilson,55.0,Male,Chicago,OH,Toys,Sofa,4,404.43,0,13.48,Cash,2024-11-23,3,5.0,Very Satisfied,1617.72,0.0,1631.2
ORD00080,CUST0139,Amy Taylor,37.0,Male,San Jose,OH,Toys,T-Shirt,5,483.99,5,16.09,Debit Card,2024-10-16,7,5.0,Very Satisfied,2419.95,120.9975,2315.0425
ORD00081,CUST0081,Chris Wilson,40.0,Female,Los Angeles,WA,Clothing,Sofa,5,141.61,25,13.18,Cash,2024-09-07,14,3.0,Satisfied,708.0500000000001,177.01250000000002,544.2175
ORD00082,CUST0163,John Smith,62.0,Female,Dallas,FL,Beauty,Lipstick,4,252.46,0,7.96,Credit Card,2024-12-26,2,5.0,Neutral,1009.84,0.0,1017.8000000000001
ORD00083,CUST0289,Chris Wilson,69.0,Male,Chicago,CA,Beauty,Novel,4,52.2,0,10.27,Credit Card,2024-03-27,3,2.0,Neutral,208.8,0.0,219.07000000000002
ORD00084,CUST0261,David Brown,33.0,Female,Los Angeles,OH,Toys,Headphones,4,283.98,10,16.06,Debit Card,2024-07-22,1,5.0,Very Satisfied,1135.92,113.59200000000001,1038.3880000000001
ORD00085,CUST0231,Mike Johnson,67.0,Female,San Diego,FL,Home & Garden,Jeans,4,256.36,0,7.47,Debit Card,2024-08-06,8,4.0,Very Satisfied,1025.44,0.0,1032.91
ORD00086,CUST0041,William Moore,59.0,Female,San Jose,OH,Beauty,Smartphone,4,80.77,15,7.76,PayPal,2024-08-28,2,5.0,Very Satisfied,323.08,48.461999999999996,282.378
ORD00087,CUST0028,Mike Johnson,25.0,Male,Philadelphia,IL,Clothing,Chocolate,5,226.61,10,1.91,PayPal,2024-11-15,7,5.0,Very Satisfied,1133.0500000000002,113.30500000000002,1021.6550000000001
ORD00088,CUST0135,Sarah Williams,67.0,Male,Philadelphia,FL,Books,Smartphone,2,173.71,20,18.29,Debit Card,2024-09-14,11,4.0,Very Satisfied,347.42,69.48400000000001,296.22600000000006
ORD00089,CUST0201,William Moore,38.0,Other,San Jose,GA,Beauty,Shampoo,2,265.7,5,1.82,Debit Card,2024-04-18,9,4.0,Neutral,531.4,26.57,506.65
ORD00090,CUST0268,Jennifer Lee,18.0,Female,San Antonio,WA,Food,Lamp,1,296.97,10,12.96,Credit Card,2024-09-12,6,4.0,Neutral,296.97,29.697000000000003,280.233
ORD00091,CUST0033,Jane Doe,25.0,Male,San Antonio,IL,Beauty,Basketball,2,14.16,5,8.26,Debit Card,2024-10-08,2,3.0,Satisfied,28.32,1.4160000000000001,35.164
ORD00092,CUST0048,Jane Doe,46.0,Male,Philadelphia,GA,Home & Garden,Shampoo,2,382.89,10,8.11,PayPal,2024-08-07,2,5.0,Neutral,765.78,76.578,697.312
ORD00093,CUST0062,John Smith,49.0,Male,Houston,PA,Toys,Basketball,5,359.38,5,13.59,Credit Card,2024-03-23,9,5.0,Very Satisfied,1796.9,89.84500000000001,1720.645
ORD00094,CUST0216,James Harris,55.0,Female,Dallas,CA,Beauty,Chocolate,4,189.48,0,1.34,Cash,2024-04-16,10,5.0,Very Dissatisfied,757.92,0.0,759.26
ORD00095,CUST0293,David Brown,22.0,male,Philadelphia,CA,Sports,Doll,4,35.94,5,11.87,PayPal,2024-03-09,8,5.0,Very Satisfied,143.76,7.188,148.442
ORD00096,CUST0099,Sarah Williams,64.0,Female,Houston,AZ,Electronics,Basketball,5,379.92,5,15.44,PayPal,2024-04-06,14,4.0,Neutral,1899.6000000000001,94.98000000000002,1820.0600000000002
ORD00097,CUST0172,Robert Garcia,39.0,Male,Chicago,AZ,Clothing,Sofa,2,478.04,15,16.56,Credit Card,2024-07-30,14,5.0,Very Dissatisfied,956.08,143.412,829.228
ORD00098,CUST0214,Amy Taylor,64.0,Female,Houston,FL,Food,T-Shirt,5,127.67,10,3.41,Cash,2024-10-12,14,5.0,Dissatisfied,638.35,63.83500000000001,577.925
ORD00099,CUST0035,James Harris,51.0,Female,Chicago,CA,Food,Jeans,1,168.53,10,17.95,PayPal,2024-08-24,9,4.0,Very Satisfied,168.53,16.853,169.62699999999998
ORD00100,CUST0227,Jane Doe,18.0,Male,Los Angeles,FL,Food,Laptop,4,100.07,0,13.12,Debit Card,2024-01-08,4,3.0,Neutral,400.28,0.0,413.4
ORD00101,CUST0101,Mike Johnson,43.0,Female,Phoenix,AZ,Sports,Lamp,3,292.7,10,17.64,PayPal,2024-10-20,4,4.0,Very Satisfied,878.0999999999999,87.81,807.93
ORD00102,CUST0131,Chris Wilson,60.0,Other,Los Angeles,PA,Food,Novel,1,85.87,5,9.71,Credit Card,2024-07-07,2,5.0,Very Satisfied,85.87,4.293500000000001,91.28650000000002
ORD00103,CUST0257,Chris Wilson,27.0,Male,Philadelphia,OH,Food,Cookbook,1,184.54,15,10.84,Credit Card,2024-03-21,14,5.0,Very Satisfied,184.54,27.680999999999997,167.69899999999998
ORD00104,CUST0005,Jennifer Lee,47.0,Female,Chicago,GA,Toys,Novel,5,351.54,20,18.38,Credit Card,2024-04-17,10,5.0,Dissatisfied,1757.7,351.54,1424.5400000000002
ORD00105,CUST0218,Sarah Williams,67.0,Male,Philadelphia,,Books,Jeans,2,284.46,0,18.0,PayPal,2024-11-16,1,3.0,Dissatisfied,568.92,0.0,586.92
ORD00106,CUST0255,David Brown,35.0,Female,San Jose,FL,Electronics,Headphones,4,199.37,15,8.96,Cash,2024-03-07,10,,Very Satisfied,797.48,119.622,686.8180000000001
ORD00107,CUST0283,David Brown,34.0,Female,Dallas,PA,Sports,Basketball,3,215.92,0,5.49,Debit Card,2024-06-22,13,4.0,Satisfied,647.76,0.0,653.25
ORD00108,CUST0207,Emily Davis,43.0,Female,New York,GA,Electronics,Doll,1,285.43,0,7.86,Credit Card,2024-12-11,4,5.0,Very Dissatisfied,285.43,0.0,293.29
ORD00109,CUST0015,Jessica White,25.0,Female,Philadelphia,CA,Clothing,Cookbook,3,12.87,5,7.76,Cash,2024-12-16,10,1.0,Satisfied,38.61,1.9305,44.439499999999995
ORD00110,CUST0042,Tom Martinez,64.0,Male,Dallas,OH,Toys,Coffee,2,48.47,0,5.74,Debit Card,2024-11-23,10,3.0,Satisfied,96.94,0.0,102.67999999999999
ORD00111,CUST0179,Jane Doe,57.0,Female,Houston,GA,Beauty,Sofa,2,441.82,10,5.37,Credit Card,2024-02-12,11,5.0,Satisfied,883.64,88.364,800.646
ORD00112,CUST0063,David Brown,66.0,Female,Los Angeles,WA,Books,Coffee,3,48.16,0,17.22,Debit Card,2024-07-05,8,,Neutral,144.48,0.0,161.7
ORD00113,CUST0231,Jennifer Lee,29.0,Male,Houston,AZ,Toys,Jeans,4,356.33,0,1.4,Debit Card,2024-10-28,2,4.0,Satisfied,1425.32,0.0,1426.72
ORD00114,CUST0241,Mike Johnson,44.0,Female,New York,GA,Electronics,Shampoo,2,460.82,5,13.55,Cash,2024-07-18,13,2.0,Neutral,921.64,46.082,889.108
ORD00115,CUST0052,Sarah Williams,25.0,Female,Chicago,TX,Sports,Headphones,3,142.63,10,3.46,Debit Card,2024-02-08,12,4.0,Satisfied,427.89,42.789,388.561
ORD00116,CUST0096,Amy Taylor,42.0,Male,San Jose,PA,Clothing,Sofa,1,191.54,20,6.89,Credit Card,2024-08-07,11,1.0,Very Satisfied,191.54,38.308,160.12199999999999
ORD00117,CUST0222,Emily Davis,63.0,Female,Dallas,OH,Clothing,Headphones,3,288.77,10,1.23,Cash,2024-11-02,8,3.0,Very Satisfied,866.31,86.631,780.909
ORD00118,CUST0231,Jennifer Lee,21.0,Female,San Jose,IL,Toys,Basketball,3,442.04,10,5.4,PayPal,2024-01-04,1,5.0,Very Satisfied,1326.1200000000001,132.61200000000002,1198.9080000000001
ORD00119,CUST0237,Lisa Anderson,50.0,Male,Phoenix,GA,Beauty,Lipstick,5,471.53,0,15.37,PayPal,2024-04-30,1,5.0,Satisfied,2357.6499999999996,0.0,2373.0199999999995
ORD00120,CUST0143,John Smith,18.0,Other,Philadelphia,NY,Sports,Sofa,2,372.39,0,17.7,Cash,2024-12-01,4,3.0,Very Satisfied,744.78,0.0,762.48
ORD00121,CUST0171,Amy Taylor,36.0,Male,Chicago,TX,Beauty,T-Shirt,4,52.44,0,4.43,PayPal,2024-03-17,7,5.0,Neutral,209.76,0.0,214.19
ORD00122,CUST0029,Jessica White,48.0,Male,Phoenix,TX,Beauty,Coffee,4,337.89,5,9.27,Debit Card,2024-06-27,9,4.0,Satisfied,1351.56,67.578,1293.252
ORD00123,CUST0036,Lisa Anderson,33.0,Male,San Diego,NY,Food,Smartphone,5,211.05,10,9.41,Credit Card,2024-05-12,5,3.0,Neutral,1055.25,105.525,959.135
ORD00124,CUST0013,Robert Garcia,31.0,Female,Philadelphia,WA,Sports,Novel,4,240.64,5,17.47,Debit Card,2024-11-06,2,4.0,Very Dissatisfied,962.56,48.128,931.9019999999999
ORD00125,CUST0160,Jessica White,65.0,Female,Houston,IL,Electronics,T-Shirt,3,34.08,10,15.26,Cash,2024-08-16,12,5.0,Neutral,102.24,10.224,107.276
ORD00126,CUST0187,Chris Wilson,22.0,Male,Los Angeles,AZ,Toys,Cookbook,5,103.62,5,10.26,Credit Card,2024-10-02,7,2.0,Very Dissatisfied,518.1,25.905,502.45500000000004
ORD00127,CUST0243,John Smith,58.0,Male,Dallas,PA,Toys,Lamp,1,,0,13.41,Cash,2024-05-31,11,4.0,Satisfied,397.35,0.0,410.76000000000005
ORD00128,CUST0086,Jane Doe,43.0,Female,New York,,Food,Lipstick,2,232.44,0,16.95,Cash,2024-06-12,2,3.0,Very Satisfied,464.88,0.0,481.83
ORD00129,CUST0284,Mike Johnson,45.0,Male,New York,PA,Home & Garden,Smartphone,2,157.81,15,0.19,Cash,2024-10-16,9,4.0,Very Dissatisfied,315.62,47.342999999999996,268.467
ORD00130,CUST0066,John Smith,19.0,Female,Houston,IL,Toys,T-Shirt,2,198.17,10,8.06,Debit Card,2024-04-18,9,3.0,Dissatisfied,396.34,39.634,364.76599999999996
ORD00131,CUST0170,Jessica White,67.0,Female,San Antonio,PA,Clothing,Jeans,3,428.66,15,18.14,Credit Card,2024-05-05,3,5.0,Dissatisfied,1285.98,192.897,1111.2230000000002
ORD00132,CUST0045,Tom Martinez,23.0,Female,New York,NY,Electronics,Headphones,1,377.01,0,14.81,Credit Card,2024-08-27,13,5.0,Neutral,377.01,0.0,391.82
ORD00133,CUST0062,Lisa Anderson,26.0,Other,Dallas,TX,Sports,Cookbook,5,143.43,25,10.86,Credit Card,2024-11-05,8,5.0,Satisfied,717.1500000000001,179.28750000000002,548.7225000000001
ORD00134,CUST0134,Jane Doe,50.0,Male,Houston,PA,Toys,Shampoo,5,67.58,0,10.59,Debit Card,2024-12-10,11,4.0,Very Satisfied,337.9,0.0,348.48999999999995
ORD00135,CUST0284,William Moore,58.0,Other,Chicago,FL,Electronics,Jeans,2,133.48,0,6.96,PayPal,2024-05-25,4,4.0,Neutral,266.96,0.0,273.91999999999996
ORD00136,CUST0028,Tom Martinez,42.0,Female,New York,GA,Food,Smartphone,1,461.17,25,10.41,Debit Card,2024-09-08,3,4.0,Very Satisfied,461.17,115.2925,356.2875
ORD00137,CUST0108,Chris Wilson,65.0,Female,San Jose,IL,Toys,Doll,1,294.98,0,13.11,Debit Card,2024-07-01,1,1.0,Very Satisfied,294.98,0.0,308.09000000000003
ORD00138,CUST0044,Tom Martinez,30.0,Male,Houston,WA,Sports,Headphones,1,271.41,10,8.37,Cash,2024-11-04,5,5.0,Satisfied,271.41,27.141000000000005,252.639
ORD00139,CUST0286,Emily Davis,26.0,Female,Dallas,FL,Books,Chocolate,4,302.23,0,14.28,Credit Card,2024-11-01,13,4.0,Satisfied,1208.92,0.0,1223.2
ORD00140,CUST0128,Emily Davis,30.0,Male,San Jose,NY,Sports,Coffee,4,189.35,5,17.22,Credit Card,2024-03-12,14,4.0,Very Satisfied,757.4,37.87,736.75
ORD00141,CUST0231,Robert Garcia,48.0,Male,Philadelphia,CA,Sports,Cookbook,2,405.48,20,3.09,PayPal,2024-08-06,11,5.0,Neutral,810.96,162.192,651.8580000000001
ORD00142,CUST0190,Jessica White,58.0,Male,Philadelphia,NY,Sports,Lamp,1,266.41,0,9.03,PayPal,2024-07-25,4,4.0,Dissatisfied,266.41,0.0,275.44
ORD00143,CUST0225,Sarah Williams,28.0,Female,New York,WA,Toys,Smartphone,1,67.21,10,8.16,Cash,2024-06-21,1,,Neutral,67.21,6.721,68.64899999999999
